error_code,feature,error_description,error_cause,error_response,error_url
XDMP-NONODES,XDMP,Insufficient number of nodes,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NONODES
XDMP-NONTRAILINGWILDCARD,XDMP,Wildcards can only be at the end of the node name,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NONTRAILINGWILDCARD
XDMP-NONVAR,XDMP,Not a variable,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NONVAR
XDMP-NOPARAM,XDMP,"Bad parameter position; function has variable1 parameters; but got variable2",The parameter position provided was too high or too low for the function.,Correct the position.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPARAM
XDMP-NOPARENTNODE,XDMP,No parent node,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPARENTNODE
XDMP-NOPARTITIONFORUPDATE,XDMP,No forests with partition number variable1 allow updates,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPARTITIONFORUPDATE
XDMP-NOPARTITIONKEY,XDMP,Database variable1 has no range assignment policy partition key,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPARTITIONKEY
XDMP-NOPROGRAM,XDMP,Server unable to build program from request,The requested XQuery document does not exist or the user does not have execute permissions on the module.,"Make sure the module exists. If the module is stored in a modules database; make sure the module execute permissions.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPROGRAM
XDMP-NOPROHIBIT,XDMP,The specified feature cannot be disabled: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOPROHIBIT
XDMP-NOQRY,XDMP,No valid query could be created for 'variable1',"The key was bound to an index; field; or callback; which could not produce a valid query in this context. Either the bindings have a problem; or the key is being misused.","Fix the bindings or the query; as appropriate.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NOQRY
XDMP-NOQUORUM,XDMP,No quorum: variable1,Unable to communicate with at least 50% of hosts in cluster,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOQUORUM
XDMP-NOREQUEST,XDMP,No request with identifier variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOREQUEST
XDMP-NOREQUIRE,XDMP,The specified feature is not supported: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOREQUIRE
XDMP-NOROOT,XDMP,Database does not have root directory,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOROOT
XDMP-NOSCHEMAIMPORT,XDMP,The schema import feature has been disabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSCHEMAIMPORT
XDMP-NOSCHEMAVALIDATION,XDMP,The schema validation feature has been disabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSCHEMAVALIDATION
XDMP-NOSEARCHTERM,XDMP,No searchable term found in the search pattern: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSEARCHTERM
XDMP-NOSERVER,XDMP,No server with identifier variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSERVER
XDMP-NOSTEMMER,XDMP,"The stemmer does not exist: variable1:variable2; host: variable3",The specified stemmer function cannot be found.,Use a stemmer function that exists.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSTEMMER
XDMP-NOSUCHCLUSTER,XDMP,No such cluster variable1,The cluster does not exist or the cluster is not coupled with the local cluster.,Make sure the cluster id is correct and the cluster is coupled with the local cluster.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHCLUSTER
XDMP-NOSUCHCONFIGURATION,XDMP,No such configuration variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHCONFIGURATION
XDMP-NOSUCHDB,XDMP,No such database variable1,The database you are trying to operate on does not exist (or you misspelled the name of an existing database).,"Either create a new database with this name and try again; or use a different; existing; database.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHDB
XDMP-NOSUCHDICT,XDMP,No such dictionary variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHDICT
XDMP-NOSUCHFOREST,XDMP,No such forest variable1,Called xdmp:forest with an invalid forest name argument.,Check the spelling of the forest name passed to xdmp:forest. Check that the forest has been created.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHFOREST
XDMP-NOSUCHGROUP,XDMP,No such group variable1,Called xdmp:group with an invalid group name.,Check spelling and existence of group name passed to xdmp:group.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHGROUP
XDMP-NOSUCHHOST,XDMP,No such host variable1,Called xdmp:host with an invalid host name.,Check the spelling of the host name. Check that you defined the host.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHHOST
XDMP-NOSUCHSERVER,XDMP,No such server variable1,Called xdmp:server with an invalid server name.,Check the spelling of the server name passed to xdmp:server . Check that the server was created.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOSUCHSERVER
XDMP-NOT-MULTIPART-MODE,XDMP,The current HTTP request is not in multipart mode,Occurs when an API that is only supposed to work for an HTTP request in multipart mode is called for none-multipart mode.,Fix the code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOT-MULTIPART-MODE
XDMP-NOTANODE,XDMP,variable1 is not a node,You are trying to use data that is not a node when a node is required.,Rewrite your query so it submits a node.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTANODE
XDMP-NOTASKSERVER,XDMP,This host's group does not contain a configured Task Server,The task server does not exist or is improperly configured for this group.,Use the Admin Interface to check the task server configuration for this group.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTASKSERVER
XDMP-NOTATOMIC,XDMP,Invalid cast to non-atomic type variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTATOMIC
XDMP-NOTCURRENT,XDMP,Transaction with Xid variable1 is not the current transaction,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTCURRENT
XDMP-NOTFILE,XDMP,The path passed to xdmp:logfile-scan() is not a file.: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTFILE
XDMP-NOTFOUNDCHARCLASS,XDMP,Character class not found: no character class for 'variable1',,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTFOUNDCHARCLASS
XDMP-NOTFUNC,XDMP,Not a singleton function value,A dynamic function call can only be made against a sequence consisting of a single function item.,"Use the head function to choose the first function in the sequence; or iterate over all the functions using for or !.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTFUNC
XDMP-NOTIDY,XDMP,No tidy in this MarkLogic Server instance,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTIDY
XDMP-NOTLOCKED,XDMP,Document not locked,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTLOCKED
XDMP-NOTMPENVVAR,XDMP,No TEMP or TMP environment variable,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTMPENVVAR
XDMP-NOTONEITEM,XDMP,fn:exactly-one called with a sequence containing zero or more than one item,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTONEITEM
XDMP-NOTPLUGIN,XDMP,"The shared library does not contain a ""marklogicPlugin"" function: variable1; host: variable2","The ""marklogicPlugin"" registration function cannot be found in the shared library.",Implement the registration function in shared libraries designed to be used as MarkLogic native plugins.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTPLUGIN
XDMP-NOTPREPARED,XDMP,Transaction with identifier variable1 is not a prepared XA transaction,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTPREPARED
XDMP-NOTQUERY,XDMP,Element variable1 is not a query (expecting a cts:query),,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTQUERY
XDMP-NOTRANGEPOLICY,XDMP,This API works only with the range assignment policy.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTRANGEPOLICY
XDMP-NOTRANS,XDMP,No transaction,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTRANS
XDMP-NOTREMEMBERED,XDMP,Transaction with identifier variable1 is not a remembered completed XA transaction,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTREMEMBERED
XDMP-NOTSIMPLE,XDMP,Node does not have simple content: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTSIMPLE
XDMP-NOTSUPPORTEDKMS,XDMP,variable1 not supported for variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTSUPPORTEDKMS
XDMP-NOTXN,XDMP,No transaction with identifier variable1,No transaction with the given ID exists on this host.,"You may be connecting to a different host than the one where the transaction was created; as transactions are host specific. It may be that the transaction has already been committed or rolled back.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NOTXN
XDMP-NOUSER,XDMP,A user must be authenticated to perform this task,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOUSER
XDMP-NOZIP,XDMP,No zip support in this MarkLogic Server instance,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-NOZIP
XDMP-NSLITERAL,XDMP,Namespace declaration attribute variable1 must be a URILiteral,"A namespace declaration attribute (for example; xmlns) must have a value that is a URI Literal value.","If you want to compute the URI Literal value; use a computed element constructor or the xdmp:with-namespaces function to compute the value.",https://docs.marklogic.com/messages/XDMP-en/XDMP-NSLITERAL
XDMP-NSSENSITIVE,XDMP,Namespace sensitive cast: variable1 cast as variable2,An expression or declaration attempted to cast a node to a namespace sensitive type like xs:QName and types derived from xs:NOTATION.,Use fn:data() or fn:resolve-QName() instead.,https://docs.marklogic.com/messages/XDMP-en/XDMP-NSSENSITIVE
XDMP-OBJCONSTRUCTCHILDSEQ,XDMP,Object nodes cannot have sequence children: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OBJCONSTRUCTCHILDSEQ
XDMP-OBSOLETESTANDNOTDELETED,XDMP,Obsolete Stand variable1 not deleted for variable2 seconds,"As a normal part of the operations in the server; stands are sometimes marked obsolete so they can be deleted later. For example; if stands are merged into a new stand; the old stands are marked obsolete. Typically; these stands will be deleted within seconds or minutes but; if there are long-running transactions or other activities like backups still using obsolete stands; they cannot be deleted until those processes complete. If obsolete stands are not deleted within an hour; the server will log this message for informational purposes.","If the system has long-running transactions that are expected or backups that take more than an hour; these messages can be ignored. If not; these messages could be a reflection of other problems in the system and they can be used to help diagnose when unexpected long-running processes may have started to occur.",https://docs.marklogic.com/messages/XDMP-en/XDMP-OBSOLETESTANDNOTDELETED
XDMP-OFFLINE,XDMP,Forest variable1 is offline,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OFFLINE
XDMP-OLDCONFIG,XDMP,"Config files are old; variable1 has newer config files",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OLDCONFIG
XDMP-OLDJOURNAL,XDMP,Backup data directory contains an incompatible journal: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OLDJOURNAL
XDMP-OLDJOURNALARCHIVE,XDMP,The journal archive is too old to be updated from the active journals: variable1,"There are 2 active journal files. When one fills up; it begins to overwrite the other. When a system fails; the archived journal may not be caught up with the active journal. When resuming journal archiving; the archived journals at startup rely on streaming frames from the active journal to get caught up with any that it missed. When the active journal overwrites itself; it may overwrite frames that the archived journal needs. If this is the case; it is not possible for the archived journal to get caught up with the active journal; and journal archiving must stop.","You must do a new full backup with journal archiving. This error message is deprecated since the active journal now waits to roll over if it is going to overwrite frames needed by the archived journal. However; this message is still included for completeness.",https://docs.marklogic.com/messages/XDMP-en/XDMP-OLDJOURNALARCHIVE
XDMP-OLDKMS,XDMP,variable1 has a more recent version of the embedded KMS,,Retry the operation after the embedded KMS has completed synchronizing. If hosts are unavailable wait for all to be online before retrying.,https://docs.marklogic.com/messages/XDMP-en/XDMP-OLDKMS
XDMP-OLDSTAMP,XDMP,Timestamp too old for forest variable1 (variable2),"A timestamp less than the oldest timestamp preserved in the database was specified for a point-in-time query or rollback. Note: If the merge timestamp is set to the default of 0 and the database has completed all merges since the last update or delete; then query statements that specify any timestamp older than the current system timestamp will throw the XDMP-OLDSTAMP exception. The error occurs because a merge timestamp value of 0 specifies that no obsolete fragments are to be retained.","Modify the query or rollback operation timestamp. For example; change the timestamp parameter passed to xdmp:eval; xdmp:invoke; or xdmp:spawn.",https://docs.marklogic.com/messages/XDMP-en/XDMP-OLDSTAMP
XDMP-ONEBINARYNODE,XDMP,Documents can only have one binary node,The document already contains a binary node,Check why a second binary node is being added into the document or use the existing binary node.,https://docs.marklogic.com/messages/XDMP-en/XDMP-ONEBINARYNODE
XDMP-OPNURL,XDMP,Open URL error: variable1: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPNURL
XDMP-OPSDIR-INTERR,XDMP,An internal error was encountered communicating with Ops Director: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INTERR
XDMP-OPSDIR-INTERR2,XDMP,An internal error was encountered communicating with Ops Director: variable1 variable2 variable3 variable4 variable5,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INTERR2
XDMP-OPSDIR-INVENDP,XDMP,No valid endpoint was found to connect to Ops Director: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INVENDP
XDMP-OPSDIR-INVMSG,XDMP,Not a valid JSON structure in: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INVMSG
XDMP-OPSDIR-INVREQ,XDMP,"An invalid request error was returned as a response to communicating with Ops Director: method variable1; variable2",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INVREQ
XDMP-OPSDIR-INVRESP,XDMP,The response received from Ops Director is invalid: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-INVRESP
XDMP-OPSDIR-RETRY,XDMP,The maximum number of retries exceeded while connecting to Ops Director: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-RETRY
XDMP-OPSDIR-SEC,XDMP,"An attempt to connect to Ops Director using https requires SSL: variable1; $2",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPSDIR-SEC
XDMP-OPTATTNOTNAME,XDMP,Tidy option nodes can only have name attributes: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPTATTNOTNAME
XDMP-OPTION,XDMP,Invalid option variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPTION
XDMP-OPTNOSPACES,XDMP,This option value cannot contain spaces: option 'variable1' cannot have spaces in 'variable2'.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPTNOSPACES
XDMP-OPTPRFX,XDMP,Prefix required on option name,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OPTPRFX
XDMP-ORDERBYVAL,XDMP,Invalid 'order by' value variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERBYVAL
XDMP-ORDERCLAUSEELEM,XDMP,Ordering clause element contains unknown child: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERCLAUSEELEM
XDMP-ORDERCLAUSENODE,XDMP,Ordering clause node variable1 contains unknown child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERCLAUSENODE
XDMP-ORDERCLAUSETEXT,XDMP,Ordering clause element variable1 contains misplaced text,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERCLAUSETEXT
XDMP-ORDERSPECELEM,XDMP,Order specification element contains unknown child: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERSPECELEM
XDMP-ORDERSPECNODE,XDMP,Order specification node variable1 contains unknown child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERSPECNODE
XDMP-ORDERSPECTEXT,XDMP,Order specification element variable1 contains misplaced text,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ORDERSPECTEXT
XDMP-OUTOFORDER,XDMP,"write variable1:Out of order; variable2",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OUTOFORDER
XDMP-OUTPUTOPTVAL,XDMP,Invalid xdmp:output option parameter,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OUTPUTOPTVAL
XDMP-OWNTXN,XDMP,Operation not allowed on the currently executing transaction with identifier variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-OWNTXN
XDMP-PARENTDIR,XDMP,Parent directory variable1 is missing for creation of child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PARENTDIR
XDMP-PARENTLINK,XDMP,"Invalid parent link node doc(""variable1"")//variable2",A parent fragment in a fragmented document is missing.,The document must be reloaded.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PARENTLINK
XDMP-PARSE,XDMP,Parse error,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PARSE
XDMP-PARSEBACKUP,XDMP,Syntax error: cannot back up,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PARSEBACKUP
XDMP-PARTICIPANTNOLOCK,XDMP,Some write locks are not held for session variable1,Participant of the distributed transaction does not have the lock for a fragment that is being updated in the transaction.,This is an unexpected error that is likely the side effect of other system stability issues occurring on your system. Check for network connectivity or host stability issues across all nodes in your cluster.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PARTICIPANTNOLOCK
XDMP-PASSPHRASE,XDMP,Incorrect passphrase,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PASSPHRASE
XDMP-PATHGIDXAMBIGUOUS,XDMP,Ambiguous geospatial variable1 path index for variable2 variable3,The options provided are not sufficient to uniquely identify a path geospatial point index.,"Specify type; coordinate-system; and/or precision options to uniquely identify a path geospatial point index.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHGIDXAMBIGUOUS
XDMP-PATHGIDXNOTCOLL,XDMP,Collations are irrelevant to the geospatial variable1 path index for variable2 variable3,"The options to the query include a collation; but the geospatial point index is not a string data-type.",Do not specify a collation in the query's options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHGIDXNOTCOLL
XDMP-PATHGIDXNOTFOUND,XDMP,No geospatial variable1 path index for variable2 variable3 variable4,The query requires a geospatial point index that does not exist.,"Make sure the geospatial point index exists and that it uses the coordinate system specified in the query. If the geospatial point index was added recently; make sure reindexing is enabled and has completed.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHGIDXNOTFOUND
XDMP-PATHGIDXNOTPOSN,XDMP,Positions are not enabled on the geospatial variable1 path index for variable2 variable3,"User has specified ""ordered"" or ""proximity"" options on a query or lexicon function when positions are not enabled on the geospatial point index.","Either enable positions on the geospatial point index or do not specify ""ordered"" or ""proximity"" options.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHGIDXNOTPOSN
XDMP-PATHLXCNNOTFOUND,XDMP,No path word lexicon for variable1 variable2,The query requires a lexicon that does not exist.,"Make sure the lexicon exists. If the lexicon was added recently; make sure reindexing is enabled and has completed.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHLXCNNOTFOUND
XDMP-PATHNSATTR,XDMP,Attributes not allowed on element variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSATTR
XDMP-PATHNSATTRVAL,XDMP,Path-namespaces attribute contains an invalid value: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSATTRVAL
XDMP-PATHNSELEM,XDMP,Path-namespaces element contains unknown child: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSELEM
XDMP-PATHNSNODE,XDMP,Path-namespaces element variable1 contains unknown child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSNODE
XDMP-PATHNSTEXT,XDMP,Path-namespaces element variable1 contains misplaced text,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSTEXT
XDMP-PATHNSVAL,XDMP,Path-namespaces element contains an invalid value: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHNSVAL
XDMP-PATHRIDXAMBIGUOUS,XDMP,Ambiguous variable1 path range index for variable2 variable3,The options provided are not sufficient to uniquely identify a path range index.,"Specify type; collation; coordinate-system; and/or precision options to uniquely identify a path range index.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHRIDXAMBIGUOUS
XDMP-PATHRIDXNOTCOLL,XDMP,Collations are irrelevant to the variable1 path range index for variable2 variable3,"The options to the query include a collation; but the range index is not a string data-type.",Do not specify a collation in the query's options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHRIDXNOTCOLL
XDMP-PATHRIDXNOTCOORD,XDMP,Coordinate systems are irrelevant to the variable1 path range index for variable2 variable3,"The options to the query include a coordinate system; but the range index is not a geospatial data type.",Do not specify a coordinate system in the query's options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHRIDXNOTCOORD
XDMP-PATHRIDXNOTFOUND,XDMP,No variable1 path range index for variable2 variable3 variable4,The query requires a range index that does not exist.,"Make sure the range index exists. If the range index is of type string; make sure it uses the collation specified in the query. If the range index is a geospatial index; make sure it uses the coordinate system specified in the query. If the range index was added recently; make sure reindexing is enabled and has completed.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHRIDXNOTFOUND
XDMP-PATHRIDXNOTPOSN,XDMP,Positions are not enabled on the variable1 path range index for variable2 variable3,"User has specified ""ordered"" or ""proximity"" options on a query or lexicon function when positions are not enabled on the range index.","Either enable positions on the range index or do not specify ""ordered"" or ""proximity"" options.",https://docs.marklogic.com/messages/XDMP-en/XDMP-PATHRIDXNOTPOSN
XDMP-PATTERNVALUEMISMATCH,XDMP,Given value doesn't match with the specified pattern for parsing dateTime string.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PATTERNVALUEMISMATCH
XDMP-PICHARS,XDMP,XML processing instructions cannot contain '?>',,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PICHARS
XDMP-PICTUREAPPLY,XDMP,Illegal character in the picture format,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PICTUREAPPLY
XDMP-PLACEKEYSLOCKING,XDMP,Fast locking cannot be used with place keys.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PLACEKEYSLOCKING
XDMP-POS,XDMP,Invalid position,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-POS
XDMP-PRERELEXP,XDMP,This pre-release version of MarkLogic Server has expired,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PRERELEXP
XDMP-PREVDL,XDMP,prevent-deadlocks option not allowed in this function,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PREVDL
XDMP-PREVENTDEADLOCKS,XDMP,Processing an update from an update with different-transaction isolation could deadlock,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PREVENTDEADLOCKS
XDMP-PRGPRFX,XDMP,Prefix required on pragma name,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PRGPRFX
XDMP-PROLOGORDER,XDMP,Prolog options in the wrong order,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PROLOGORDER
XDMP-PROPSNODE,XDMP,Top-level property element cannot be deleted or replaced,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-PROPSNODE
XDMP-PROTECTEDQUERY,XDMP,Protected query element not indexed,Protected query element not indexed,Check element level protection on the query and try again.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PROTECTEDQUERY
XDMP-PROTECTEDTRIPLE,XDMP,Protected triple element not indexed,Protected triple element not indexed,Check element level protection on the triple and try again.,https://docs.marklogic.com/messages/XDMP-en/XDMP-PROTECTEDTRIPLE
XDMP-QNAME,XDMP,"Invalid QName ""variable1""",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QNAME
XDMP-QNAMEKEYFORM,XDMP,Invalid lexical form for QName key,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QNAMEKEYFORM
XDMP-QNAMELEXFORM,XDMP,Invalid lexical form for QName,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QNAMELEXFORM
XDMP-QNAMELIT,XDMP,A non-QName value must be a string literal to be cast to a QName,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QNAMELIT
XDMP-QNMURI,XDMP,QName URI is not empty variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QNMURI
XDMP-QRYTOODEEP,XDMP,Query has too many nesting levels,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QRYTOODEEP
XDMP-QRYUTF8SEQ,XDMP,Invalid UTF-8 escape sequence -- query is not UTF-8 encoded variable1,A bad UTF-8 byte code sequence was found in the XQuery.,Encode your query in UTF-8 correctly.,https://docs.marklogic.com/messages/XDMP-en/XDMP-QRYUTF8SEQ
XDMP-QRYXMLCHAR,XDMP,Invalid XML character -- query contains non-XML character,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QRYXMLCHAR
XDMP-QUERYATTR,XDMP,Attributes not allowed on element variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYATTR
XDMP-QUERYATTRVAL,XDMP,Query attribute contains an invalid value: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYATTRVAL
XDMP-QUERYELEM,XDMP,Query element contains unknown child: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYELEM
XDMP-QUERYINDEX,XDMP,Error querying for index differences variable1: exception_stack,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYINDEX
XDMP-QUERYNOCOORD,XDMP,Query requires a coordinate system: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYNOCOORD
XDMP-QUERYNODE,XDMP,Query element variable1 contains unknown child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYNODE
XDMP-QUERYNOGEOOP,XDMP,Query requires a geospatial operation: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYNOGEOOP
XDMP-QUERYNOVALS,XDMP,The range query must have one or more cts:values: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYNOVALS
XDMP-QUERYTEXT,XDMP,Query element variable1 contains misplaced text,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYTEXT
XDMP-QUERYVAL,XDMP,Query element contains an invalid value: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-QUERYVAL
XDMP-RANGEINDEX,XDMP,Range index error: variable1 variable2: exception_stack,User inserted a document where certain data doesn't match the data-type of the corresponding range index. Also user didn't set the invalid-values option in the range index configuration.,"Either change the data-type of the index or data. If both of those cannot be changed and you still want to insert the data; set the invalid-values option in the index configuration.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEX
XDMP-RANGEINDEXELEM,XDMP,Range index element contains unknown child: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXELEM
XDMP-RANGEINDEXNAN,XDMP,Range indexes cannot store NaNs,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXNAN
XDMP-RANGEINDEXNODE,XDMP,Range index element variable1 contains unknown child,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXNODE
XDMP-RANGEINDEXTEXT,XDMP,Range index element variable1 contains misplaced text,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXTEXT
XDMP-RANGEINDEXTYP,XDMP,Unsupported range index type: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXTYP
XDMP-RANGEINDEXVAL,XDMP,Range index element contains an invalid value: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEINDEXVAL
XDMP-RANGEPARTIALOVERLAP,XDMP,Ranges partially overlap: variable1 and variable2,The two ranges partially overlap.,Check your configuration.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RANGEPARTIALOVERLAP
XDMP-RDFCOMPARE,XDMP,Bad RDF Value comparison,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RDFCOMPARE
